"date","total_steps","weekday","weekend","change_from_previous_day","percent_change_from_previous_day"
2021-02-10,246,"Wednesday","Weekday",NA,NA
2021-02-12,169,"Friday","Weekday",-77,-31.3008130081301
2021-02-13,8067,"Saturday","Weekend",7898,4673.37278106509
2021-02-14,1879,"Sunday","Weekend",-6188,-76.7075740671873
2021-02-15,7255,"Monday","Weekday",5376,286.109632783395
2021-02-16,17478,"Tuesday","Weekday",10223,140.909717436251
2021-02-17,4505,"Wednesday","Weekday",-12973,-74.2247396727314
2021-02-18,6347,"Thursday","Weekday",1842,40.8879023307436
2021-02-19,2345,"Friday","Weekday",-4002,-63.0534110603435
2021-02-20,902,"Saturday","Weekend",-1443,-61.5351812366738
2021-02-21,4294,"Sunday","Weekend",3392,376.053215077605
2021-02-22,2153,"Monday","Weekday",-2141,-49.8602701443875
2021-02-23,1994,"Tuesday","Weekday",-159,-7.38504412447747
2021-02-24,678,"Wednesday","Weekday",-1316,-65.9979939819458
2021-02-25,3344,"Thursday","Weekday",2666,393.215339233038
2021-02-26,12445,"Friday","Weekday",9101,272.159090909091
2021-02-27,5424,"Saturday","Weekend",-7021,-56.4162314182403
2021-02-28,5201,"Sunday","Weekend",-223,-4.11135693215339
2021-03-01,2464,"Monday","Weekday",-2737,-52.6244952893674
2021-03-04,39,"Thursday","Weekday",-2425,-98.4172077922078
2021-03-05,3289,"Friday","Weekday",3250,8333.33333333333
2021-03-06,3815,"Saturday","Weekend",526,15.9927029492247
2021-03-07,3936,"Sunday","Weekend",121,3.17169069462647
2021-03-08,1996,"Monday","Weekday",-1940,-49.2886178861789
2021-03-09,3690,"Tuesday","Weekday",1694,84.8697394789579
2021-03-10,1981,"Wednesday","Weekday",-1709,-46.3143631436314
2021-03-11,5820,"Thursday","Weekday",3839,193.791014639071
2021-03-12,4543,"Friday","Weekday",-1277,-21.9415807560137
2021-03-13,3954,"Saturday","Weekend",-589,-12.9650011005943
2021-03-14,2976,"Sunday","Weekend",-978,-24.7344461305008
2021-03-15,96,"Monday","Weekday",-2880,-96.7741935483871
