"hour","total_steps","mean_steps","n_records"
0,170291,255.692192192192,666
1,71591,210.561764705882,340
2,47659,267.747191011236,178
3,36999,336.354545454545,110
4,29828,324.217391304348,92
5,12778,232.327272727273,55
6,46467,231.179104477612,201
7,161374,252.937304075235,638
8,303716,287.609848484848,1056
9,378891,279.624354243542,1355
10,402836,261.751786874594,1539
11,555230,291.76563321072,1903
12,739268,315.118499573743,2346
13,704801,321.386684906521,2193
14,671709,309.54331797235,2170
15,598600,296.777392166584,2017
16,700422,302.296935692706,2317
17,799090,323.518218623482,2470
18,735493,312.975744680851,2350
19,633223,304.727141482194,2078
20,573864,290.711246200608,1974
21,609064,297.249389946315,2049
22,493584,302.441176470588,1632
23,306486,292.727793696275,1047
